qid,vid,query,duration_seconds,relevant_duration_seconds,density,max_mean_saliency,relevant_windows,preview_url,hf_filename
6997,OKYptIe8a-k_660.0_810.0,Woman takes off her glasses and puts them back on.,150.0,14.0,0.0933,4.0,"[[50, 64]]",https://www.youtube.com/embed/OKYptIe8a-k?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/OKYptIe8a-k_660.0_810.0.mp4
7554,i3mGaC0d-lA_510.0_660.0,People are showing a square shaped planter they have in the backyard.,150.0,14.0,0.0933,4.0,"[[98, 112]]",https://www.youtube.com/embed/i3mGaC0d-lA?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/i3mGaC0d-lA_510.0_660.0.mp4
9791,616-UX_bkM4_60.0_210.0,Russian President Putin gives a press conference to the backdrop of the Russian flag.,150.0,14.0,0.0933,4.0,"[[14, 28]]",https://www.youtube.com/embed/616-UX_bkM4?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/616-UX_bkM4_60.0_210.0.mp4
7347,1crgYZDNnQc_510.0_660.0,"A woman is picking up a candle, lighting it and putting it in the corner.",150.0,14.0,0.0933,4.0,"[[134, 148]]",https://www.youtube.com/embed/1crgYZDNnQc?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/1crgYZDNnQc_510.0_660.0.mp4
7652,8sSsKMqFbmw_60.0_210.0,Woman looks at her phone.,150.0,14.0,0.0933,4.0,"[[28, 34], [36, 44]]",https://www.youtube.com/embed/8sSsKMqFbmw?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/8sSsKMqFbmw_60.0_210.0.mp4
10180,5LPS7E-0tuA_60.0_210.0,A helicopter is flying over the area against a clear blue sky.,150.0,14.0,0.0933,4.0,"[[86, 100]]",https://www.youtube.com/embed/5LPS7E-0tuA?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/5LPS7E-0tuA_60.0_210.0.mp4
1152,QmvKWmTAwvU_60.0_210.0,Woman with blue jacket stands in the middle of the street.,150.0,14.0,0.0933,4.0,"[[42, 56]]",https://www.youtube.com/embed/QmvKWmTAwvU?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/QmvKWmTAwvU_60.0_210.0.mp4
641,-SwWStoWYKo_360.0_510.0,A racoon is sitting in a chair.,150.0,14.0,0.0933,4.0,"[[128, 142]]",https://www.youtube.com/embed/-SwWStoWYKo?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/-SwWStoWYKo_360.0_510.0.mp4
105,0nQgqIJbCZw_60.0_210.0,Kids are sitting at the table eating breakfast.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/0nQgqIJbCZw?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/0nQgqIJbCZw_60.0_210.0.mp4
6996,SfaOBziN3Wg_510.0_660.0,Girl eats the toast on the plate.,150.0,14.0,0.0933,4.0,"[[58, 64], [70, 78]]",https://www.youtube.com/embed/SfaOBziN3Wg?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/SfaOBziN3Wg_510.0_660.0.mp4
6726,u3CUaOMeasY_210.0_360.0,A man is showing the view of modern looking high rise apartment building.,150.0,14.0,0.0933,4.0,"[[54, 68]]",https://www.youtube.com/embed/u3CUaOMeasY?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/u3CUaOMeasY_210.0_360.0.mp4
985,inDWykptWz4_60.0_210.0,Woman in pajamas lies on her bed.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/inDWykptWz4?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/inDWykptWz4_60.0_210.0.mp4
235,1VSNUjB-Bhc_360.0_510.0,A girl is talking to a blue goat in a video game.,150.0,14.0,0.0933,4.0,"[[0, 14]]",https://www.youtube.com/embed/1VSNUjB-Bhc?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/1VSNUjB-Bhc_360.0_510.0.mp4
